ticker,category,kind,gate_category,extreme_date,extreme_price,transition_date,state,reason,pending_date,sublevel_date,native_date,invalidated_date,invalid_reason
SPY,vertex,top,vertex,2025-10-03,672.675,2025-10-07,invalidated,superseded,2025-10-03,,,2025-10-07,superseded
SPY,divergence,top,divergence,2025-10-03,672.675,2025-10-03,pending,,2025-10-03,,,2025-10-07,superseded
SPY,divergence,top,divergence,2025-10-03,672.675,2025-10-07,invalidated,superseded,2025-10-03,,,2025-10-07,superseded
SPY,vertex,top,vertex,2025-10-07,672.99,2025-10-07,pending,,2025-10-07,,,2025-10-08,superseded
SPY,vertex,top,vertex,2025-10-07,672.99,2025-10-08,invalidated,superseded,2025-10-07,,,2025-10-08,superseded
SPY,divergence,top,divergence,2025-10-07,672.99,2025-10-07,pending,,2025-10-07,,,2025-10-08,superseded
SPY,divergence,top,divergence,2025-10-07,672.99,2025-10-08,invalidated,superseded,2025-10-07,,,2025-10-08,superseded
SPY,vertex,top,vertex,2025-10-08,673.2056,2025-10-08,pending,,2025-10-08,,,2025-10-09,superseded
SPY,vertex,top,vertex,2025-10-08,673.2056,2025-10-09,invalidated,superseded,2025-10-08,,,2025-10-09,superseded
SPY,divergence,top,divergence,2025-10-08,673.2056,2025-10-08,pending,,2025-10-08,,,2025-10-09,superseded
SPY,divergence,top,divergence,2025-10-08,673.2056,2025-10-09,invalidated,superseded,2025-10-08,,,2025-10-09,superseded
SPY,vertex,top,vertex,2025-10-09,673.94,2025-10-09,pending,,2025-10-09,,,2025-10-10,superseded
SPY,vertex,top,vertex,2025-10-09,673.94,2025-10-10,invalidated,superseded,2025-10-09,,,2025-10-10,superseded
SPY,divergence,top,divergence,2025-10-09,673.94,2025-10-09,pending,,2025-10-09,,,2025-10-10,superseded
SPY,divergence,top,divergence,2025-10-09,673.94,2025-10-10,invalidated,superseded,2025-10-09,,,2025-10-10,superseded
SPY,vertex,top,vertex,2025-10-10,673.95,2025-10-10,pending,,2025-10-10,,2025-10-23,,
SPY,vertex,top,vertex,2025-10-10,673.95,2025-10-23,confirmed_native,,2025-10-10,,2025-10-23,,
SPY,divergence,top,divergence,2025-10-10,673.95,2025-10-10,pending,,2025-10-10,,2025-10-23,,
SPY,divergence,top,divergence,2025-10-10,673.95,2025-10-23,confirmed_native,,2025-10-10,,2025-10-23,,
SPY,vertex,bottom,vertex,2025-10-13,659.7679,2025-10-13,pending,,2025-10-13,,,2025-10-14,superseded
SPY,vertex,bottom,vertex,2025-10-13,659.7679,2025-10-14,invalidated,superseded,2025-10-13,,,2025-10-14,superseded
SPY,vertex,bottom,vertex,2025-10-14,653.17,2025-10-14,pending,,2025-10-14,,,2025-10-23,superseded
SPY,vertex,bottom,vertex,2025-10-14,653.17,2025-10-23,invalidated,superseded,2025-10-14,,,2025-10-23,superseded
SPY,vertex,bottom,vertex,2025-10-22,663.3,2025-10-23,pending,,2025-10-23,,2025-10-30,,
SPY,vertex,bottom,vertex,2025-10-22,663.3,2025-10-30,confirmed_native,,2025-10-23,,2025-10-30,,
SPY,vertex,top,vertex,2025-10-23,672.7101,2025-10-23,pending,,2025-10-23,,,2025-10-24,superseded
SPY,vertex,top,vertex,2025-10-23,672.7101,2025-10-24,invalidated,superseded,2025-10-23,,,2025-10-24,superseded
SPY,vertex,top,vertex,2025-10-24,678.47,2025-10-24,pending,,2025-10-24,,,2025-10-27,superseded
SPY,vertex,top,vertex,2025-10-24,678.47,2025-10-27,invalidated,superseded,2025-10-24,,,2025-10-27,superseded
SPY,divergence,top,divergence,2025-10-24,678.47,2025-10-24,pending,,2025-10-24,,,2025-10-27,superseded
SPY,divergence,top,divergence,2025-10-24,678.47,2025-10-27,invalidated,superseded,2025-10-24,,,2025-10-27,superseded
SPY,vertex,top,vertex,2025-10-27,685.54,2025-10-27,pending,,2025-10-27,,,2025-10-28,superseded
SPY,vertex,top,vertex,2025-10-27,685.54,2025-10-28,invalidated,superseded,2025-10-27,,,2025-10-28,superseded
SPY,divergence,top,divergence,2025-10-27,685.54,2025-10-27,pending,,2025-10-27,,,2025-10-28,superseded
SPY,divergence,top,divergence,2025-10-27,685.54,2025-10-28,invalidated,superseded,2025-10-27,,,2025-10-28,superseded
SPY,vertex,top,vertex,2025-10-28,688.905,2025-10-28,pending,,2025-10-28,,,2025-10-29,superseded
SPY,vertex,top,vertex,2025-10-28,688.905,2025-10-29,invalidated,superseded,2025-10-28,,,2025-10-29,superseded
SPY,divergence,top,divergence,2025-10-28,688.905,2025-10-28,pending,,2025-10-28,,,2025-10-29,superseded
SPY,divergence,top,divergence,2025-10-28,688.905,2025-10-29,invalidated,superseded,2025-10-28,,,2025-10-29,superseded
SPY,vertex,top,vertex,2025-10-29,689.7,2025-10-29,pending,,2025-10-29,,2025-11-10,,
SPY,vertex,top,vertex,2025-10-29,689.7,2025-11-10,confirmed_native,,2025-10-29,,2025-11-10,,
SPY,divergence,top,divergence,2025-10-29,689.7,2025-10-29,pending,,2025-10-29,,2025-11-10,,
SPY,divergence,top,divergence,2025-10-29,689.7,2025-11-10,confirmed_native,,2025-10-29,,2025-11-10,,
SPY,vertex,bottom,vertex,2025-10-30,679.83,2025-10-30,pending,,2025-10-30,,,2025-10-31,superseded
SPY,vertex,bottom,vertex,2025-10-30,679.83,2025-10-31,invalidated,superseded,2025-10-30,,,2025-10-31,superseded
SPY,point,1S,1S,2025-10-29,689.7,2025-10-30,pending,,2025-10-30,,,2025-11-06,superseded
SPY,point,1S,1S,2025-10-29,689.7,2025-11-06,invalidated,superseded,2025-10-30,,,2025-11-06,superseded
