ticker,category_token,kind,extreme_date,entry,period,horizon,mom_bucket,trend_agree,depth_favorable,gamma_regime,signed_ret,signed_baseline,edge,state_edge,correct
RSP,3B,3B,2024-01-17,confirmation,H2,20,1,True,True,pos,0.04045762495206451,0.007739324749472312,0.0327183002025922,0.029611590401995784,1
RSP,3B,3B,2024-01-17,extreme,H2,1,1,True,True,pos,0.005135205408216326,0.00038557326903472115,0.004749632139181605,0.00517708821879276,1
RSP,3B,3B,2024-01-17,extreme,H2,3,1,True,True,pos,0.018200728029121205,0.001165791703621749,0.017034936325499454,0.018384049244807868,1
RSP,3B,3B,2024-01-17,extreme,H2,5,1,True,True,pos,0.013455538221528895,0.0019398389714503205,0.011515699250078575,0.012892609677178967,1
RSP,3B,3B,2024-01-17,extreme,H2,10,1,True,True,pos,0.017030681227249156,0.0039090265635026,0.013121654663746556,0.013501619994089676,1
RSP,3B,3B,2024-01-17,extreme,H2,20,1,True,True,pos,0.03217628705148212,0.007739324749472312,0.02443696230200981,0.021330252501413398,1
RSP,divergence,top,2024-03-28,confirmation,H2,1,0,False,False,neg,-0.008880332857231554,-0.00038557326903472115,-0.008494759588196833,-0.008064138849355848,0
RSP,divergence,top,2024-03-28,confirmation,H2,3,0,False,False,neg,-0.00819723032975217,-0.001165791703621749,-0.007031438626130421,-0.005056320930743168,0
RSP,divergence,top,2024-03-28,confirmation,H2,5,0,False,False,neg,-0.015711358132024955,-0.0019398389714503205,-0.013771519160574635,-0.010368204479999145,0
RSP,divergence,top,2024-03-28,confirmation,H2,10,0,False,False,neg,-0.018692169161025785,-0.0039090265635026,-0.014783142597523185,-0.008360504467121945,0
RSP,divergence,top,2024-03-28,confirmation,H2,20,0,False,False,neg,-0.04266285785257384,-0.007739324749472312,-0.034923533103101534,-0.023697852145160136,0
RSP,divergence,top,2024-03-28,extreme,H2,1,4,False,True,pos,0.005904233335301323,-0.00038557326903472115,0.006289806604336044,0.006483040614358597,1
RSP,divergence,top,2024-03-28,extreme,H2,3,4,False,True,pos,0.013402609671134269,-0.001165791703621749,0.014568401374756018,0.014864587394317045,1
