entry_date,spot,vix,rv,vrp_z,w,short_put,long_put,width,credit_pts,credit_usd,max_loss_usd,contracts,margin_usd,exit_date,exit_spot,breached,net_pnl_usd,ror
2012-10-23,1413.11,18.83,0.1144,0.664,1.0,1361.8,1320.4,41.5,8.291,6633.0,3317.0,8,26535.0,2012-12-07,1418.07,False,6292.0,0.237
2012-11-01,1427.59,16.69,0.1142,0.072,0.145,1382.0,1344.7,37.4,7.393,739.0,2996.0,1,2996.0,2012-12-14,1413.58,False,701.0,0.234
2012-12-14,1413.58,17.0,0.097,0.607,1.0,1367.6,1329.9,37.6,7.461,6715.0,3018.0,9,27165.0,2013-01-30,1501.96,False,6367.0,0.234
2012-12-21,1430.15,17.84,0.0935,0.907,1.0,1381.2,1341.3,39.9,7.934,6347.0,3193.0,8,25547.0,2013-02-06,1512.12,False,6020.0,0.236
2012-12-31,1426.19,18.02,0.1138,0.335,0.67,1376.8,1336.7,40.1,7.995,3997.0,3214.0,5,16072.0,2013-02-13,1520.33,False,3791.0,0.236
2013-02-06,1512.12,13.41,0.0783,0.171,0.342,1474.2,1442.1,32.1,6.252,1876.0,2585.0,3,7756.0,2013-03-21,1545.8,False,1774.0,0.229
2013-02-13,1520.33,12.98,0.0774,0.107,0.215,1483.6,1452.3,31.3,6.079,1216.0,2520.0,2,5041.0,2013-03-28,1569.19,False,1149.0,0.228
2013-02-21,1502.42,15.22,0.0946,0.293,0.586,1459.1,1423.1,36.0,7.075,3538.0,2893.0,5,14467.0,2013-04-05,1553.28,False,3354.0,0.232
2013-03-28,1569.19,12.7,0.0728,0.338,0.677,1532.2,1500.6,31.6,6.136,4295.0,2548.0,7,17838.0,2013-05-10,1633.7,False,4060.0,0.228
2013-04-05,1553.28,13.92,0.0835,0.371,0.742,1512.7,1478.5,34.2,6.673,4671.0,2751.0,7,19255.0,2013-05-17,1667.47,False,4423.0,0.23
2013-05-24,1649.6,13.99,0.0922,0.331,0.662,1606.2,1569.8,36.5,7.123,4274.0,2935.0,6,17611.0,2013-07-09,1652.32,False,4052.0,0.23
2013-06-03,1640.42,16.28,0.0974,0.939,1.0,1589.5,1547.6,41.9,8.28,6624.0,3364.0,8,26915.0,2013-07-16,1676.26,False,6283.0,0.233
2013-06-17,1639.04,16.8,0.1305,0.096,0.191,1586.4,1543.2,43.2,8.546,855.0,3461.0,1,3461.0,2013-07-30,1685.96,False,811.0,0.234
2013-07-23,1692.39,12.66,0.0738,0.602,1.0,1652.7,1618.7,34.0,6.596,6596.0,2740.0,10,27402.0,2013-09-04,1653.08,False,6245.0,0.228
2013-07-30,1685.96,13.39,0.0688,0.991,1.0,1643.8,1608.0,35.7,6.96,6264.0,2878.0,9,25905.0,2013-09-11,1689.13,False,5937.0,0.229
2013-08-06,1697.37,12.72,0.0747,0.565,1.0,1657.3,1623.1,34.3,6.648,6648.0,2761.0,10,27606.0,2013-09-18,1725.52,False,6295.0,0.228
2013-08-13,1694.16,12.31,0.0633,0.772,1.0,1655.7,1622.5,33.1,6.416,6416.0,2671.0,10,26711.0,2013-09-25,1692.77,False,6071.0,0.227
2013-08-20,1652.35,14.91,0.083,0.944,1.0,1605.7,1566.9,38.8,7.618,6856.0,3121.0,9,28092.0,2013-10-02,1693.87,False,6501.0,0.231
2013-08-27,1630.48,16.77,0.1052,0.802,1.0,1578.2,1535.3,42.9,8.485,1697.0,3438.0,2,6875.0,2013-10-09,1656.4,False,1610.0,0.234
2013-09-04,1653.08,15.88,0.101,0.658,1.0,1603.1,1561.9,41.3,8.132,6506.0,3313.0,8,26500.0,2013-10-16,1721.54,False,6171.0,0.233
2013-09-25,1692.77,14.01,0.0798,0.815,1.0,1648.2,1610.7,37.5,7.32,6588.0,3016.0,9,27144.0,2013-11-06,1770.49,False,6247.0,0.23
2013-10-02,1693.87,16.6,0.0848,1.501,1.0,1640.1,1596.0,44.1,8.723,6978.0,3538.0,8,28300.0,2013-11-13,1782.0,False,6621.0,0.234
2013-10-09,1656.4,19.6,0.0989,1.953,1.0,1593.7,1543.3,50.5,10.131,7091.0,4034.0,7,28238.0,2013-11-20,1781.37,False,6731.0,0.238
2013-11-20,1781.37,13.4,0.0888,0.355,0.709,1736.8,1699.0,37.8,7.36,4416.0,3043.0,6,18260.0,2014-01-06,1826.77,False,4187.0,0.229
2013-11-27,1807.23,12.98,0.0889,0.19,0.38,1763.6,1726.4,37.2,7.227,2168.0,2996.0,3,8988.0,2014-01-13,1819.2,False,2055.0,0.229
2013-12-05,1785.03,15.08,0.0891,0.876,1.0,1734.0,1691.6,42.4,8.326,6661.0,3408.0,8,27264.0,2014-01-21,1843.8,False,6318.0,0.232
2013-12-12,1775.5,15.54,0.0786,1.373,1.0,1723.1,1679.7,43.4,8.542,6834.0,3487.0,8,27893.0,2014-01-28,1792.5,False,6483.0,0.232
2013-12-19,1809.6,14.15,0.0958,0.312,0.625,1761.4,1721.0,40.5,7.906,3953.0,3254.0,5,16272.0,2014-02-04,1755.2,True,631.0,0.039
